ID,TL,TL_Desc,HS6,HS6_Desc,Sector_Code,Base_Rate,Base_Rate_Alt,Final_Year,TLs_Per_6_Digit,Staging_Basket,TRQ_Quota,TRQ_Note,Tariff_Eliminated,Product_Type,Pending_Data,Ag_ID,PartnerName,ReporterName,StagingBasket,StagingBasketId,Num_MAR_Columns,PartnerStartYear,ReporterStartYear,PartnerAgreementName,ReporterAgreementName,PartnerAgreementApproved,ReporterAgreementApproved,Rule_Text,Link_Text,Link_Url,QuotaName,ProductType,Y2004,Alt_2004,Y2005,Alt_2005,Y2006,Alt_2006,Y2007,Alt_2007,Y2008,Alt_2008,Y2009,Alt_2009,Y2010,Alt_2010,Y2011,Alt_2011,Y2012,Alt_2012,Y2013,Alt_2013,Y2014,Alt_2014,Y2015,Alt_2015,Y2016,Alt_2016,Y2017,Alt_2017,Y2018,Alt_2018,Y2019,Alt_2019,Y2020,Alt_2020,Y2021,Alt_2021,Y2022,Alt_2022,Y2023,Alt_2023,Y2024,Alt_2024,Y2025,Alt_2025,Y2026,Alt_2026,Y2027,Alt_2027,Y2028,Alt_2028,Y2029,Alt_2029,Y2030,Alt_2030,Y2031,Alt_2031,Y2032,Alt_2032,Y2033,Alt_2033,Y2034,Alt_2034,Y2035,Alt_2035,Y2036,Alt_2036,Y2037,Alt_2037,Y2038,Alt_2038,Y2039,Alt_2039,Y2040,Alt_2040,Y2041,Alt_2041
439969,1063200,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",10632,"PSITTACIFORMES ( PARROTS, MACAWS &COCKATOOS), LIVE                         ",15,0,,2005,1,6,,,TRUE,2,FALSE,908,United States,Australia,Immediate,6,10,,2005,United States,Australia,,TRUE,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440026,1063900,"Live birds, other than poultry, birds of prey or psittaciforme birds",10639,"BIRDS, LIVE, NESOI                                                         ",15,1.8,,2005,1,6,,,TRUE,2,FALSE,965,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440000,1063900,Other,10639,"BIRDS, LIVE, NESOI                                                         ",15,0,,2005,1,6,,,TRUE,2,FALSE,939,United States,Australia,Immediate,6,10,,2005,United States,Australia,,TRUE,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440041,1069000,Other,10690,"ANIMALS, LIVE, NESOI                                                       ",15,0,,2005,1,6,,,TRUE,2,FALSE,980,United States,Australia,Immediate,6,10,,2005,United States,Australia,,TRUE,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348552,87149690,"Pts. & access. for bicycles & o/cycles, crank-gear nesoi and parts thereof",871496,"PEDALS AND CRANK-GEAR, AND PARTS THEREOF FOR BICYCLES AND OTHER CYCLES NESOI",CG,10,,2005,3,6,,,,1,FALSE,,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 8714 through 8715 from any other heading.,,,,Industrial/Textile,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348553,87149900,Other,871499,"PARTS AND ACCESSORIES NESOI, FOR BICYCLES AND OTHER CYCLES NESOI",CG,0,,2005,1,6,,,,1,FALSE,,United States,Australia,Immediate,6,10,,2005,United States,Australia,,TRUE,A change to heading 8714 through 8715 from any other heading.,,,,Industrial/Textile,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348554,87149910,"Pts. & access. for bicycles & o/cycles, click twist grips and click stick levers",871499,"PARTS AND ACCESSORIES NESOI, FOR BICYCLES AND OTHER CYCLES NESOI",CG,0,,2005,4,6,,,,1,FALSE,,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 8714 through 8715 from any other heading.,,,,Industrial/Textile,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348555,87149950,"Pts. & access. for bicycles & o/cycles, derailleurs and parts thereof",871499,"PARTS AND ACCESSORIES NESOI, FOR BICYCLES AND OTHER CYCLES NESOI",CG,0,,2005,4,6,,,,1,FALSE,,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 8714 through 8715 from any other heading.,,,,Industrial/Textile,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348556,87149960,"Pts. & accs. for bicycles & o/cycl., trigger & twist grip cntrls for 3-spd hubs, alum. handlebar stems >$2.15 ea, & stem rotor assys. & pts.",871499,"PARTS AND ACCESSORIES NESOI, FOR BICYCLES AND OTHER CYCLES NESOI",CG,0,,2005,4,6,,,,1,FALSE,,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 8714 through 8715 from any other heading.,,,,Industrial/Textile,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348557,87149980,"Pts. & access. nesoi, for bicycles and other cycles of heading 8712",871499,"PARTS AND ACCESSORIES NESOI, FOR BICYCLES AND OTHER CYCLES NESOI",CG,10,,2005,4,6,,,,1,FALSE,,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 8714 through 8715 from any other heading.,,,,Industrial/Textile,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348770,87150000,BABY CARRIAGES AND PARTS THEREOF,871500,BABY CARRIAGES (INCLUDING STROLLERS) AND PARTS THEREOF,CG,0,,2005,1,6,,,,1,FALSE,,United States,Australia,Immediate,6,10,,2005,United States,Australia,,TRUE,A change to heading 8714 through 8715 from any other heading.,,,,Industrial/Textile,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
